"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93"
"MSV","TN THCS","Toan","Van","Anh","Su","Dia","GDCD","VL","Hoa","Sinh","Test Input","PhongVan","HocBa","TuyenThang","TuyenKhac","PhThuc","TrungNV","ĐLHTSV","Động lực của bạn khi vào trường ĐHGD - ĐHQGHN? ","Động lực của bạn chọn ngành học này? ","Giới tính","Bạn có phải là con thuộc diện chính sách không","Hãy vui lòng cho biết trình độ của bố bạn như thế nào?","Hãy vui lòng cho biết trình độ của mẹ bạn như thế nào?","Nghề nghiệp bố","Nghề nghiệp mẹ","Làm thêm","Hãy cho biết, bạn có học bổng không?","Nguồn kinh phí","Hãy cho biết nguồn hỗ trợ kinh phí học tập của bạn?","Thời gian bạn bè","Chất kích thích","Hãy cho biết, bạn có hay dùng bia, rượu, hút thuốc lá, dùng các chất kích thích khác như hút ""pod shisha"", hay chơi điện tử quá nhiều không?
Bạn có thể lựa chọn nhiều phương án, cách nhau bởi dấu phẩy "",""

Nếu bạn không dùng bia, rượu, hút thuốc lá, dùng các chất kích thích khác như hút ""pod shisha"", hay chơi điện tử, ghi số 0
Nếu bạn hay dùng bia, rượu, ghi số 1
Nếu bạn hay hút thuốc lá, ghi số 2
Nếu bạn hay dùng các chất kích khác như hút ""pod shisha"", ghi số 3
Nếu bạn chơi điện tử quá nhiều, ghi số 4
Nếu bạn hay dùng các chất khác nữa, ghi số 5
","Thời gian MXH","Trang MXH","Tình trạng sức khỏe hiện nay của bạn?","Hãy cho biết, bạn đã từng có sự kiện thất bại trong quá khứ không?","Hãy cho biết, thời gian học tập trung bình trong 1 ngày của bạn?","Bạn nhận thấy mình:","Hãy cho biết, mức độ thích ứng với môi trường học tập tại trường ĐHGD-ĐHQGHN của bạn như thế nào?","Hãy cho biết Phương pháp học tập đại học của bạn ở trường ĐHGD-ĐHQGHN như thế nào? 

- Nếu Không hiệu quả, ghi số 1
- Nếu ít hiệu quả, ghi số 2
- Nếu Hiệu quả, ghi số 3
- Nếu Khá hiệu quả, ghi số 4
- Nếu Rất hiệu quả, ghi số 5","Bạn hãy cho biết mức độ hỗ trợ của trường ĐHGD-ĐHQGHN như thế nào?","Bạn hãy cho biết mức độ hỗ trợ của giảng viên trường ĐHGD-ĐHQGHN như thế nào?","Bạn hãy cho biết điều kiện cơ sở vật chất, trang thiết bị của trường ĐHGD-ĐHQGHN như thế nào?","Bạn hãy cho biết Chất lượng giảng viên của trường ĐHGD-ĐHQGHN như thế nào?","Bạn hãy cho biết Mức độ phù hợp của Chương trình đào tạo trường ĐHGD-ĐHQGHN như thế nào?","Hãy cho biết mức độ cạnh tranh trong học tập, nghiên cứu trong lớp học của bạn như thế nào?","Hãy cho biết, mức độ ảnh hưởng của bạn bè đến kết quả học tập của bạn như thế nào?","Dẫn luận ngôn ngữ học","Những nguyên lí cơ bản của chủ nghĩa Mác-Lênin 1","Văn học dân gian Việt Nam","LS văn minh thế giới","Ngữ pháp học Tiếng Việt","Nguyên lí lí luận văn học","Những nguyên lí cơ bản của chủ nghĩa Mác-Lênin 2","Văn học Việt Nam từ thế kỷ 10 đến giữa thế kỷ 18","Đại cương về tâm lý và tâm lý học nhà trường","Tin học cơ sở","Tư tưởng Hồ Chí Minh","Văn học Trung Quốc","Văn học Việt Nam nửa cuối thế kỷ 18 đến thế kỷ 19","Phong cách học Tiếng Việt","Đường lối cách mạng của Đảng Cộng sản Việt Nam","Hán Nôm cơ sở","Tác phẩm văn học","Thực hành văn bản tiếng Việt","Văn học Nga","Văn học Việt Nam từ 1900 đến 1945","Giáo dục học ","Ngôn ngữ học ứng dụng","Tổ chức các hoạt động giáo dục của nhà trường","Thi pháp văn học dân gian","Văn học Châu Âu thế kỷ 17-19","Văn học Việt Nam từ 1945 đến  nay","Nghệ thuật học đại cương","Văn học Bắc Mĩ-Latinh","Phương pháp nghiên cứu KHGD","Dạy học Tiếng Việt trong nhà trường phổ thông","Dạy học Ngữ Văn theo hướng tích hợp","Ngôn ngữ và văn học","Đo lường và đánh giá trong giáo dục","Quản lý hành chính nhà nước và quản lý ngành Giáo dục và đào tạo","Lý luận và Công nghệ dạy học","Việt ngữ học với việc dạy tiếng Việt trong nhà trường","Lý thuyết Làm văn trong nhà trường","Thực hành Sư phạm và phát triển kỹ năng cá nhân, xã hội.","Dạy học Văn học trong nhà trường phổ thông","Tư vấn tâm lý học đường","Phát triển chương trình giáo dục phổ thông","Khóa luận tốt nghiệp","Thực tập sư phạm","Xếp hạng tốt nghiệp"
"14011002","0.8666666666666671","0.4545454545454546","0.8888888888888888","0.8095238095238095","0.894736842105263","0.8974358974358974","0.8999999999999999","-1","-1","-1","-1","-1","-1","-1","-1","-0.5555555555555556","-0.7777777777777778","0.7777777777777777","0.19999999999999996","-0.6666666666666667","-1","-1","0.19999999999999996","0","0.33333333333333326","0","0.5","-1","0","0","0.33333333333333326","1","0","-0.19999999999999996","-0.6","-1","-0.5","0.46666666666666656","-0.75","-0.25","-0.25","-0.25","0","-0.5","-0.25","-0.25","-0.25","-0.25","0.2962962962962965","0.7735849056603767","0.5813953488372092","0.5","0.7894736842105263","0.4285714285714286","-0.054545454545454564","0.4444444444444444","0","-0.5357142857142858","0.5714285714285716","0.5438596491228074","0.625","0.7659574468085106","0.07317073170731736","0.18644067796610164","0.6862745098039214","0.4285714285714288","0.21052631578947367","0.45945945945945943","0.4545454545454546","0.19999999999999973","0.17241379310344862","0.6744186046511631","0.41176470588235303","0.574468085106383","-1","-5.1875","-0.09523809523809557","0.555555555555556","0.4166666666666674","0.696969696969697","0.6170212765957446","0.6326530612244896","-0.21739130434782605","0.7499999999999996","0.39130434782608625","0.8181818181818188","-0.31707317073170704","0.25","0.19999999999999996","0","0.5238095238095237","Giỏi"
"14011501","0.7333333333333336","0.09090909090909083","0.7777777777777777","0.5238095238095237","0.894736842105263","0.8974358974358974","0.8","-1","-1","-1","-1","-1","-1","-1","-1","-0.5555555555555556","-0.7777777777777778","0.7777777777777777","-0.19999999999999996","-0.6666666666666667","-1","-1","0.19999999999999996","0","0","0","0.5","-1","0.5","-0.5","0","1","0","-0.19999999999999996","0.19999999999999996","-0.33333333333333337","0","1","-0.75","-0.25","-0.25","-0.25","-0.25","-0.25","-0.25","-0.25","-0.25","-0.25","0.0740740740740744","0.4339622641509431","0.16279069767441823","0.45446156695573947","0.8947368421052635","-0.5999999999999999","0.34545454545454546","0.22222222222222232","0.15000000000000013","0.6071428571428572","0.07142857142857162","0.7543859649122808","0.49999999999999956","0.7872340425531914","0.21951219512195141","0.3220338983050848","0.529411764705882","-3.5238095238095237","0.3684210526315792","-0.13513513513513542","0.49090909090909074","0.19999999999999973","0.17241379310344862","0.6744186046511631","0.35294117647058854","0.4893617021276593","-0.8947368421052633","0.9375000000000002","0.2857142857142858","-0.33333333333333315","0.5833333333333335","0.3939393939393938","0.1914893617021276","0.8775510204081629","0.130434782608696","0.41666666666666585","0.652173913043478","0.363636363636364","0.12195121951219567","0.34999999999999964","0.19999999999999996","0.75","0.5238095238095237","Giỏi"
"14011502","0.8666666666666671","0.4545454545454546","0.7777777777777777","0.5238095238095237","0.894736842105263","0.8974358974358974","0.8","-1","-1","-1","-1","-1","-1","-1","-1","-0.5555555555555556","-0.5555555555555556","0.33333333333333326","0.6000000000000001","0.33333333333333326","-1","-1","-0.19999999999999996","0","0.33333333333333326","0","0.5","-1","0","0","0.33333333333333326","1","0","0.6000000000000001","0.19999999999999996","-0.33333333333333337","0.5","0.6000000000000001","-0.75","-0.5","-0.25","-0.25","-0.25","-0.25","-0.25","-0.25","-0.25","-0.25","-0.222222222222222","0.2075471698113207","0.5348837209302326","0.15999999999999992","0.7894736842105263","-0.1428571428571429","-0.38181818181818195","0.14814814814814836","0.10000000000000031","0","0.392857142857143","-0.29824561403508765","0.4166666666666665","0.6595744680851066","0.17073170731707354","0.2542372881355932","0.3725490196078429","0.33333333333333326","-1","0.3513513513513513","0.3090909090909093","-0.485714285714286","0.37931034482758585","0.5348837209302326","0.11764705882352944","0.1914893617021276","-0.29824561403508776","-1","-0.4285714285714285","0.27777777777777835","0.16666666666666674","0.696969696969697","0.23404255319148937","0.6326530612244896","-1","0.5235507246376816","0.652173913043478","-0.3636363636363641","-0.12195121951219468","0.04999999999999982","-0.04000000000000059","0.25","0.8095238095238102","Khá"
"14011503","0.5999999999999999","0.4545454545454546","0.33333333333333326","0.5238095238095237","0.894736842105263","0.8974358974358974","0.8","-1","-1","-1","-1","-1","-1","-1","-1","-0.5555555555555556","-0.7777777777777778","-0.7777777777777778","-0.19999999999999996","-0.33333333333333337","-1","-1","0.19999999999999996","0","0.33333333333333326","0","0.5","-1","0.5","-0.5","0.6666666666666667","1","0","0.19999999999999996","-0.19999999999999996","-0.33333333333333337","0","0.19999999999999996","-0.75","-0.25","-0.25","-0.25","-0.25","-0.25","-0.25","-0.25","-0.25","-0.25","-0.07407407407407396","0.320754716981132","0.9534883720930234","0.45447293286889145","0.4736842105263157","0.1428571428571428","0.05454545454545445","0.14814814814814836","0","-0.3214285714285716","0.2857142857142858","0.5087719298245619","0.5416666666666661","0.7021276595744681","0.36585365853658547","0.016949152542372836","0.4117647058823526","0.23809523809523836","-0.6842105263157892","0.5675675675675671","-0.018181818181818077","-0.028571428571429025","0.17241379310344862","0.6279069767441856","0.529411764705882","0.44680851063829774","-0.4035087719298245","0.4374999999999998","0.2857142857142858","0.22222222222222254","0.6666666666666665","0.696969696969697","0.36170212765957444","0.8367346938775508","-0.7391304347826082","0.5249660326086958","0.47826086956521796","-0.2727272727272735","0.17073170731707354","0.2999999999999998","-0.2799999999999997","0.9000000000000004","0.8095238095238102","Giỏi"
"14011504","0.466666666666667","0.8181818181818181","0.7777777777777777","0.9047619047619047","0.894736842105263","0.8974358974358974","0.8","-1","-1","-1","-1","-1","-1","-1","-1","-0.7777777777777778","-0.7777777777777778","0.7777777777777777","-0.6","-0.6666666666666667","-1","-1","0.19999999999999996","0","0.6666666666666667","0","0.5","-1","0.5","-0.5","0","1","0","0.19999999999999996","0.19999999999999996","-0.33333333333333337","0.5","0.8666666666666667","-0.75","-0.25","-0.25","-0.25","-0.25","-0.25","-0.25","-0.25","-0.25","-0.25","0.18518518518518534","0.5471698113207544","0.7209302325581397","0.78","0.8947368421052635","-0.1428571428571429","-0.34545454545454535","0.5555555555555558","0.6000000000000005","0.6428571428571428","0.17857142857142883","0.4385964912280702","0.5833333333333335","0.6170212765957446","0.5121951219512195","0.2542372881355932","0.7647058823529407","0.3809523809523807","0.4736842105263157","0.5135135135135134","0.20000000000000018","0.19999999999999973","0.5172413793103452","0.6279069767441856","0.47058823529411753","0.7872340425531916","-0.4736842105263158","0.34090909090909083","0.6190476190476186","0.18055555555555625","0.6666666666666665","0.3939393939393938","0.7446808510638299","0.6326530612244896","0.21739130434782594","0.5467051630434785","0.130434782608696","0.2727272727272734","0.12195121951219567","0.15000000000000036","0.19999999999999996","0.40000000000000036","0.8095238095238102","Xuất sắc"
"14011505","0.5999999999999999","0.4545454545454546","0.7777777777777777","0.5238095238095237","0.6842105263157894","0.8974358974358974","0.8","-1","-1","-1","-1","-1","-1","-1","-1","-0.5555555555555556","-0.7777777777777778","0.7777777777777777","0.19999999999999996","-0.6666666666666667","-1","-1","-0.19999999999999996","0","0.33333333333333326","0","1","-0.75","0","0","0","1","0","-0.19999999999999996","-0.19999999999999996","-1","-0.5","0.8666666666666667","-0.75","-0.25","-0.25","-0.25","-0.25","-0.25","-0.25","-0.25","-0.25","-0.25","0.3333333333333337","-0.05660377358490576","0.4418604651162794","0.5800000000000001","-0.1578947368421051","-0.3714285714285711","0.20000000000000018","0.5185185185185184","0.3000000000000005","0.6428571428571428","0.6785714285714284","0.4035087719298247","0.4166666666666665","0.7872340425531914","-0.2682926829268292","0.0847457627118644","0.529411764705882","-3.5238095238095237","0.21052631578947367","0.18918918918918926","0.6000000000000001","0.19999999999999973","-0.10344827586206895","0.6279069767441856","0.35294117647058854","0.4893617021276593","-0.2631578947368419","1","0.2857142857142858","-0.8333333333333329","0.3333333333333328","0.3939393939393938","0.48936170212765995","0.8775510204081629","0.21739130434782594","0.16666666666666674","0.21739130434782594","0.363636363636364","0.12195121951219567","0.34999999999999964","0.19999999999999996","0.15000000000000036","0.9047619047619051","Giỏi"
"14011506","0.7333333333333336","0.4545454545454546","0.6666666666666667","0.5238095238095237","0.894736842105263","0.8974358974358974","0.8","-1","-1","-1","-1","-1","-1","-1","-1","-0.5555555555555556","-0.7777777777777778","0.7777777777777777","-0.6","-0.6666666666666667","-1","-1","-0.19999999999999996","0","0.33333333333333326","0","0.5","-1","0.5","-0.5","0.33333333333333326","1","0","-0.19999999999999996","0.19999999999999996","-0.33333333333333337","-0.5","0.8666666666666667","-0.75","-0.25","-0.25","-0.25","-0.25","-0.25","-0.25","-0.25","-0.25","-0.25","0.14814814814814836","0.2075471698113207","0.7209302325581397","0.45359707086105994","0.7894736842105263","0.37142857142857166","0.27272727272727293","0.11111111111111094","0.5","0.7500000000000002","0.392857142857143","0.5789473684210529","0.5416666666666661","0.7659574468085106","0.6097560975609762","0.8644067796610169","0.2549019607843137","0.4761904761904763","0.42105263157894757","0.621621621621621","0.38181818181818206","0.19999999999999973","-0.5172413793103446","0.6744186046511631","0.29411764705882293","0.6170212765957446","0.8947368421052628","0.3125000000000002","0.09523809523809512","0.16666666666666718","0.5000000000000004","1","0.829787234042553","1","0.652173913043478","0.5000000000000004","0.130434782608696","0.1818181818181812","0.07317073170731736","0.4500000000000002","0.19999999999999996","1","1","Giỏi"
"14011507","0.7333333333333336","-0.2727272727272727","0.7777777777777777","-0.8095238095238095","0.894736842105263","0.8974358974358974","0.6000000000000001","-1","-1","-1","-1","-1","-1","-1","-0.7777777777777778","-0.5555555555555556","-0.7777777777777778","0.5555555555555556","-0.6","-0.6666666666666667","-1","-1","-0.19999999999999996","-0.33333333333333337","0.33333333333333326","0","0.5","-0.75","0.5","-0.5","0.33333333333333326","1","0","0.19999999999999996","-0.19999999999999996","-1","0","0.19999999999999996","-1","0","0","0","0","0","0","0","0","0","0.37037037037037046","0.09433962264150941","0.5813953488372092","0.4523368278914115","0.8947368421052635","0.48571428571428554","-0.0181818181818183","0.6296296296296298","0.5500000000000007","0.4642857142857142","0.392857142857143","0.5438596491228074","0.6666666666666665","0.7021276595744681","0.7073170731707319","0.3898305084745761","0.6862745098039214","0.04761904761904767","0.4736842105263157","0.621621621621621","0.6000000000000001","0.19999999999999973","-0.10344827586206895","0.5813953488372092","0.529411764705882","0.574468085106383","0.8947368421052628","0.6250000000000002","0","0.555555555555556","0.7499999999999996","1","0.829787234042553","0.8775510204081629","0.47826086956521796","0.5000000000000004","0.652173913043478","0.636363636363636","0.31707317073170804","0.5","0.2799999999999998","0.40000000000000036","0.8095238095238102","Xuất sắc"
"14011006","0.3333333333333335","-0.6363636363636364","0.33333333333333326","-0.23809523809523814","0.6842105263157894","0.8974358974358974","0.3999999999999999","-1","-1","-1","-1","-1","-1","-1","-1","-0.5555555555555556","-0.7777777777777778","0.5555555555555556","-0.6","-0.6666666666666667","-1","-1","0.19999999999999996","-0.33333333333333337","0.6666666666666667","0.5","0.5","-0.75","0","0","0.8333333333333333","1","0","0.19999999999999996","0.6000000000000001","-0.33333333333333337","0.5","0.6000000000000001","-1","-1","0","-0.5","-0.5","-0.5","-0.5","-0.5","-0.5","-0.5","-0.11111111111111094","-0.1320754716981134","0.3953488372093019","0.52","0.4736842105263157","-0.2571428571428568","-0.12727272727272732","-0.03703703703703687","0.6000000000000005","0.14285714285714257","0.5714285714285716","0.3333333333333335","0.24999999999999978","0.5319148936170213","0.5121951219512195","-0.423728813559322","0.5686274509803917","-0.8571428571428572","0.21052631578947367","0.45945945945945943","0.20000000000000018","0.5428571428571425","-0.31034482758620674","0.6279069767441856","0.47058823529411753","0.1063829787234043","-2.508771929824561","0.12499999999999978","-0.2857142857142857","0.555555555555556","0","0.696969696969697","0.06382978723404253","0.34693877551020424","-0.826086956521739","-0.3333333333333336","-0.3043478260869561","-0.0909090909090906","-0.21951219512195086","-0.5499999999999998","-0.2799999999999997","0.15000000000000036","0.5238095238095237","Khá"
